,text,retweet_count,language,name,tweetedOn
1,j'ai pas de vie alors j'ai regardé S01E04 de Money Heist  #tvtime https://t.co/fmMzmmfMC8 https://t.co/3I6i8jlSWv,0,fr,LE CLIP DE DÉFAITE DE FAMILLE,2018-02-28 10:35:26
2,RT Italos2: I'm voting for #KatyPerry #SwishSwish #BestMusicVideo #iHeartAwards,0,en,Arikaty 55,2018-02-28 10:35:19
3,"RT @timaagbalaya: Ladies and gentlemen of the Twitter community, I’m about to get lucky through you 🌝40k rts in 15days and we all share thi…",0,en,mehn,2018-02-28 10:34:35
4,"RT @thalassa2008: Jour 4/7  -Une photo de ma vie quotidienne par jour en noir et blanc avec le relais à une autre personne. Pas de gens, pa…",0,fr,merloni giovanni,2018-02-28 10:34:49
5,"RT @robert_laffont: Oeuvre posthume de deux créateurs de génie, ce livre réalise l’un des derniers rêves de Cabu : illustrer un recueil des…",0,fr,Caroline Babulle,2018-02-28 10:34:35
6,"RT @ngBritishArts: Activities start at 10.00 a.m. today. 
Don’t forget to wear comfortable shoes. 
See you at Freedom Park. 
#LTF2018 https…",0,en,Adesuwa Balogun,2018-02-28 10:35:27
7,RT @gabrielrufian: Cuando estés mal piensa que Fernando aún sigue atrapado en un autobús que quizá vaya camino de Venezuela. https://t.co/8…,0,es,Me llamo Nuwanda,2018-02-28 10:35:19
8,"RT @daily_politics: Due to weather problems, we have a guest presenter for wednesday’s #bbcdp 

Molly is back in London for a special #bbct…",0,en,News Addict,2018-02-28 10:35:27
9,RT @cmonspaingirl: cuantas vas a suspender? https://t.co/aSHxyoJP3U,0,es,JC,2018-02-28 10:35:27
10,"RT @Jawzod: UBER SEXUAL | With the car parked in a tight space, @EvanParkerXXX parks his hard cock right in @CooperSteelXXX’s tight ass 😫💦…",0,en,dustin,2018-02-28 10:35:27
11,"RT @FATE_XIU: 비바폴로 가서 경수 사진 보고있는데 어머님이 오셔서 경수냐구 핸드폰 가져가두 되냐고 물어보신 다음에 사진 자세히 보면서 너무 귀엽다구 경수 칭찬 하셨어요 ㅠAㅠ 어머님 경수 사랑최고시구,, 드라마 대박나자 😭

#iHeart…",0,ko,상해상,2018-02-28 10:35:19
12,RT @Exolusa: If you want to send a donation via paypal pls send to exovotingdonations@gmail.com and write anniversary donation on paypal no…,0,en,Zach Greior,2018-02-28 10:35:27
13,"RT @ElRebollaco: #Los5Fantasticos esto NO es #EquiparacionYa esto es SUBIDA SALARIAL, y tampoco es una equiparacion técnica en relación a l…",0,es,Supergirl,2018-02-28 10:34:49
14,"RT @BTSnunada_twt: 🆘️압도적 격차 잊지맙시다 🆘️ 

📅 D- 14      

총공 30 분전 🔥🔥

오늘의 키워드
👉 #HIXTAPE_D3  👈 

#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt",0,ko,힝hing,2018-02-28 10:34:49
15,RT @AMoDELSLIFE: Everyday I’m mad at the fact that Mary J. Blige doesn’t have her own line of thigh high BOOTS.,0,en,✨A Iconic Black Queen,2018-02-28 10:34:35
16,"RT @06251804: For reservation:
BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- ¥14,040
G-DRAGON 2017 WORLD TOUR &lt;ACT III, M.O.T.T.E&gt; IN JAPAN ¥12…",0,en,maielle17,2018-02-28 10:34:49
17,@sora_sora01234 I nominated Ms.Clinton!,0,en,◢ ⁴⁶ Kaedethito◢͟￨⁴⁶🌻佑唯まーる🌻,2018-02-28 10:35:19
18,"@ElsAmpe @destandaard @celinefremault Dans ce quartier de Laeken, il y a déjà le métro et de nombreuses lignes de t… https://t.co/tv6eV0ndGu",0,fr,Corentin Di Prima,2018-02-28 10:34:49
19,@AdriFandino @RubenPinzonHdez @GiordanoBrunoFi @MariaFdaCabal @MALPENSANTE666 @Marianiniecheve @SenorCaicedo… https://t.co/9xNisDYtmd,0,es,Gio,2018-02-28 10:34:49
